id,name,dateOfBirth,role,battingStyle,bowlingStyle,country,playerImg,team
"C1257351-51CA-446F-B7F5-01FE92E75076","Shardul Thakur","1991-10-16T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/players/c1257351-51ca-446f-b7f5-01fe92e75076.jpg","Mumbai Indians"
"209404F5-0D11-4118-A9D8-086BEDCFBA2F","Raghu Sharma","1993-03-11T00:00:00","Bowler","Right Handed Bat","","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"C510FBE6-8A16-47E4-AB60-0965720241AF","Will Jacks","1998-11-21T00:00:00","Batting Allrounder","Right Handed Bat","Right-arm offbreak","England","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"01966983-B69F-4523-9377-11B5C190715F","AM Ghazanfar","2006-03-20T00:00:00","Bowler","Right Handed Bat","Right-arm offbreak","Afghanistan","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"C06C697C-9575-4BB0-B1F0-27A56A2F3898","Mayank Markande","1997-11-11T00:00:00","Bowler","Right Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/c06c697c-9575-4bb0-b1f0-27a56a2f3898.jpg","Mumbai Indians"
"6004FD3F-2264-470D-B39F-340D530B19B3","Trent Boult","1989-07-22T00:00:00","Bowler","Right Handed Bat","Left-arm fast-medium","New Zealand","https://h.cricapi.com/img/players/6004fd3f-2264-470d-b39f-340d530b19b3.jpg","Mumbai Indians"
"E899C36D-DD74-42F1-9C72-743FEA2E23CF","Mohammed Salahuddin Izhar","","","","","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"A6686871-5BCD-4AAE-8BFC-8298F878B6A9","Ryan Rickelton","1996-07-11T00:00:00","WK-Batsman","Left Handed Bat","","South Africa","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"AEFD9074-DA5A-408D-94F1-3BE0E79D3B82","Tilak Varma","2002-11-08T00:00:00","Batsman","Left Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/players/aefd9074-da5a-408d-94f1-3be0e79d3b82.jpg","Mumbai Indians"
"C978CE48-495B-4773-89C9-8A64D0257896","Sherfane Rutherford","1998-08-15T00:00:00","Batting Allrounder","Left Handed Bat","Right-arm fast-medium","West Indies","https://h.cricapi.com/img/players/c978ce48-495b-4773-89c9-8a64d0257896.jpg","Mumbai Indians"
"B64CCF20-292A-4834-B3D7-9DE55187F44A","Raj Bawa","2002-11-12T00:00:00","Batting Allrounder","Left Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/players/b64ccf20-292a-4834-b3d7-9de55187f44a.jpg","Mumbai Indians"
"A90B2371-5C53-4C29-A382-9B52D40A7548","Hardik Pandya","1993-10-11T00:00:00","Batting Allrounder","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/players/a90b2371-5c53-4c29-a382-9b52d40a7548.jpg","Mumbai Indians"
"0B4A79AD-EEAC-4C0F-9682-B20C10D677D1","Danish Malewar","2003-10-08T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"000F9F7C-CC24-4A85-8638-B013B0F4760E","Quinton de Kock","1992-12-17T00:00:00","WK-Batsman","Left Handed Bat","","South Africa","https://h.cricapi.com/img/players/000f9f7c-cc24-4a85-8638-b013b0f4760e.jpg","Mumbai Indians"
"F1DEA685-FA68-4339-B582-BA70839E5CA9","Corbin Bosch","1994-09-10T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm fast-medium","South Africa","https://h.cricapi.com/img/players/f1dea685-fa68-4339-b582-ba70839e5ca9.jpg","Mumbai Indians"
"237A1EF2-1EAE-4877-8B94-D20D84FAF635","Deepak Chahar","1992-08-07T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/players/237a1ef2-1eae-4877-8b94-d20d84faf635.jpg","Mumbai Indians"
"C9361DBC-8A5B-48E0-A5AF-C727EC096EB5","Atharva Ankolekar","2000-09-26T00:00:00","Bowling Allrounder","Left Handed Bat","Left-arm orthodox","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"16EC245B-022D-4104-BD8F-CCC780428390","Mitchell Santner","1992-02-05T00:00:00","Bowling Allrounder","Left Handed Bat","Left-arm orthodox","New Zealand","https://h.cricapi.com/img/players/16ec245b-022d-4104-bd8f-ccc780428390.jpg","Mumbai Indians"
"71ADD5AC-55F9-4EB7-9E0C-D51208AE20C0","Naman Dhir","1999-12-31T00:00:00","Batsman","Right Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"21FFA053-B03D-4270-A49F-D3E2DB9DFDE7","Robin Minz","2002-09-13T00:00:00","WK-Batsman","Left Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"8C579447-BFBD-4CF6-A283-DB4DC1D5AC33","Suryakumar Yadav","1990-09-14T00:00:00","Batsman","Right Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/players/8c579447-bfbd-4cf6-a283-db4dc1d5ac33.jpg","Mumbai Indians"
"3C0410D4-DD88-4964-A176-E43C5D622E58","Mayank Rawat","1999-12-04T00:00:00","Batting Allrounder","Right Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"AF485F9B-D446-41AB-A644-F1A69F0EB600","Ashwani Kumar","2001-08-29T00:00:00","Bowler","Left Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Mumbai Indians"
"6602D875-CF56-46A3-866C-DE80AAA006BC","Jasprit Bumrah","1993-12-06T00:00:00","Bowler","Right Handed Bat","Right-arm fast","India","https://h.cricapi.com/img/players/6602d875-cf56-46a3-866c-de80aaa006bc.jpg","Mumbai Indians"
"D0D5F87D-78C3-4126-86A7-17EA315FDA67","Aman Khan","1996-11-23T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"9D8BE8E7-4218-400F-919A-211415490575","Jamie Overton","1994-04-10T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm fast","England","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"B65BE7FE-33CD-41D1-B601-31F25B4F72A4","Shreyas Gopal","1993-09-04T00:00:00","Bowler","Right Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/b65be7fe-33cd-41d1-b601-31f25b4f72a4.jpg","Chennai Super Kings"
